Isolate ID , Isolate name ,Location, Collection date , Segment  , Segment number , Type , Lineage , Passage details/history , Submitter , Sample ID by sample provider , Sample ID by submitting lab , Last modified , Originating lab , Submitting lab , Identifier , DNA Accession no. , DNA INSDC
EPI_ISL_305790,A/AbuDhabi/188/2017,AbuDhabi,11/13/17,HA,4,A/H3N2,,S1,DaSilvaJuliana,A/ABUDHABI/188/2017ORIGINAL,3000687066,4/3/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687066_000J3JM0_v1_4,1209814,
EPI_ISL_299814,A/AbuDhabi/148/2017,AbuDhabi,11/16/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/148/2017ORIGINAL,3000687054,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687054_N8K8YL9S_v1_4,1180156,
EPI_ISL_299818,A/AbuDhabi/184/2017,AbuDhabi,11/18/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/184/2017ORIGINAL,3000687062,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687062_N8K8YLAW_v1_4,1180188,
EPI_ISL_299781,A/AbuDhabi/0195/2017,AbuDhabi,11/21/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/195/2017ORIGINAL,3000687073,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687073_N8K8YLCF_v1_4,1179892,
EPI_ISL_307864,A/AbuDhabi/217/2017,AbuDhabi,12/21/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/217/2017ORIGINAL,3000828307,4/23/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000828307_N8K9FYI3_v1_4,1221419,
EPI_ISL_307865,A/AbuDhabi/211/2017,AbuDhabi,12/21/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/211/2017ORIGINAL,3000828304,4/23/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000828304_N8K9FYHO_v1_4,1221427,
EPI_ISL_307866,A/AbuDhabi/218/2017,AbuDhabi,12/21/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/218/2017ORIGINAL,3000828295,4/23/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000828295_N8K9FYGF_v1_4,1221435,
EPI_ISL_307867,A/AbuDhabi/221/2017,AbuDhabi,12/21/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/221/2017ORIGINAL,3000828298,4/23/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000828298_N8K9FYGU_v1_4,1221443,
EPI_ISL_307868,A/AbuDhabi/208/2017,AbuDhabi,12/21/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/208/2017ORIGINAL,3000828291,4/23/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000828291_N8K9FYFV_v1_4,1221451,
EPI_ISL_309021,A/AbuDhabi/225/2017,AbuDhabi,12/21/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/225/2017ORIGINAL,3000828301,5/1/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000828301_N8K9FYH9_v1_4,1225104,
EPI_ISL_313499,A/AbuDhabi/221/2017,AbuDhabi,12/21/17,HA,4,A/H3N2,,S1,DaSilvaJuliana,A/ABUDHABI/221/2017ORIGINAL,3000828298,6/12/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000828298_000J3MVL_v1_4,1248707,
EPI_ISL_313501,A/AbuDhabi/218/2017,AbuDhabi,12/21/17,HA,4,A/H3N2,,S2,DaSilvaJuliana,A/ABUDHABI/218/2017ORIGINAL,3000828295,6/12/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000828295_000J3N6U_v1_4,1248723,
EPI_ISL_313534,A/AbuDhabi/217/2017,AbuDhabi,12/21/17,HA,4,A/H3N2,,S2,DaSilvaJuliana,A/ABUDHABI/217/2017ORIGINAL,3000828307,6/12/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000828307_000J3N74_v1_4,1248987,
EPI_ISL_314365,A/AbuDhabi/236/2017,AbuDhabi,12/21/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/236/2017ORIGINAL,3000828302,6/25/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000828302_N8K9FYHE_v1_4,1253389,
EPI_ISL_291724,A/Afghanistan/0034/2017,Afghanistan,10/5/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40034ORIGINAL,3000683171,1/16/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683171_N8K8Y6AH_v1_4,1142414,
EPI_ISL_296508,A/Afghanistan/0034/2017,Afghanistan,10/5/17,HA,4,A/H3N2,,S1,DaSilvaJuliana,17-40034ORIGINAL,3000683171,2/6/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683171_000J3G8Z_v1_4,1166247,
EPI_ISL_291725,A/Afghanistan/0286/2017,Afghanistan,10/29/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40286ORIGINAL,3000683172,1/16/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683172_N8K8Y6AM_v1_4,1142422,
EPI_ISL_291726,A/Afghanistan/0288/2017,Afghanistan,10/29/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40288ORIGINAL,3000683173,1/16/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683173_N8K8Y6AR_v1_4,1142430,
EPI_ISL_291727,A/Afghanistan/0293/2017,Afghanistan,10/29/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40293ORIGINAL,3000683174,1/16/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683174_N8K8Y6AW_v1_4,1142438,
EPI_ISL_291728,A/Afghanistan/0295/2017,Afghanistan,10/29/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40295ORIGINAL,3000683175,1/16/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683175_N8K8Y6B1_v1_4,1142446,
EPI_ISL_296502,A/Afghanistan/0295/2017,Afghanistan,10/29/17,HA,4,A/H3N2,,S1,DaSilvaJuliana,17-40295ORIGINAL,3000683175,2/6/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683175_000J3G85_v1_4,1166199,
EPI_ISL_296505,A/Afghanistan/0293/2017,Afghanistan,10/29/17,HA,4,A/H3N2,,S1,DaSilvaJuliana,17-40293ORIGINAL,3000683174,2/6/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683174_000J3G9E_v1_4,1166223,
EPI_ISL_296506,A/Afghanistan/0288/2017,Afghanistan,10/29/17,HA,4,A/H3N2,,S1,DaSilvaJuliana,17-40288ORIGINAL,3000683173,2/6/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683173_000J3G99_v1_4,1166231,
EPI_ISL_296507,A/Afghanistan/0286/2017,Afghanistan,10/29/17,HA,4,A/H3N2,,S1,DaSilvaJuliana,17-40286ORIGINAL,3000683172,2/6/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683172_000J3G94_v1_4,1166239,
EPI_ISL_291729,A/Afghanistan/0394/2017,Afghanistan,11/4/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40394ORIGINAL,3000683176,1/16/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683176_N8K8Y6B6_v1_4,1142454,
EPI_ISL_296494,A/Afghanistan/0394/2017,Afghanistan,11/4/17,HA,4,A/H3N2,,S2,DaSilvaJuliana,17-40394ORIGINAL,3000683176,2/6/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683176_000J3GM9_v1_4,1166135,
EPI_ISL_291730,A/Afghanistan/0428/2017,Afghanistan,11/7/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40428ORIGINAL,3000683177,1/16/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683177_N8K8Y6BB_v1_4,1142462,
EPI_ISL_296504,A/Afghanistan/0428/2017,Afghanistan,11/7/17,HA,4,A/H3N2,,S1,DaSilvaJuliana,17-40428ORIGINAL,3000683177,2/6/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683177_000J3G9J_v1_4,1166215,
EPI_ISL_291731,A/Afghanistan/0435/2017,Afghanistan,11/9/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40435ORIGINAL,3000683178,1/16/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683178_N8K8Y6BG_v1_4,1142470,
EPI_ISL_291732,A/Afghanistan/0437/2017,Afghanistan,11/9/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40437ORIGINAL,3000683179,1/16/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683179_N8K8Y6BL_v1_4,1142478,
EPI_ISL_291733,A/Afghanistan/0438/2017,Afghanistan,11/9/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40438ORIGINAL,3000683180,1/16/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683180_N8K8Y6BQ_v1_4,1142486,
EPI_ISL_296493,A/Afghanistan/0437/2017,Afghanistan,11/9/17,HA,4,A/H3N2,,S2,DaSilvaJuliana,17-40437ORIGINAL,3000683179,2/6/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683179_000J3GMC_v1_4,1166127,
EPI_ISL_296503,A/Afghanistan/0435/2017,Afghanistan,11/9/17,HA,4,A/H3N2,,S1,DaSilvaJuliana,17-40435ORIGINAL,3000683178,2/6/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683178_000J3G9O_v1_4,1166207,
EPI_ISL_303217,A/Afghanistan/0438/2017,Afghanistan,11/9/17,HA,4,A/H3N2,,S1,DaSilvaJuliana,17-40438ORIGINAL,3000683180,3/13/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000683180_000J3G9T_v1_4,1198379,
EPI_ISL_303082,A/Afghanistan/0534/2017,Afghanistan,11/18/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40534ORIGINAL,3000820981,3/13/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820981_N8K9F68L_v1_4,1197141,
EPI_ISL_314381,A/Afghanistan/0534/2017,Afghanistan,11/18/17,HA,4,A/H3N2,,S2,DaSilvaJuliana,17-40534ORIGINAL,3000820981,6/25/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820981_000J3LQ6_v1_4,1253514,
EPI_ISL_303068,A/Afghanistan/0616/2017,Afghanistan,11/25/17,HA,4,A/H3N2,,C4,DaSilvaJuliana,17-40616,3000820975,3/13/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820975_N8K9F67R_v1_4,1197029,
EPI_ISL_303080,A/Afghanistan/0624/2017,Afghanistan,11/25/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40624ORIGINAL,3000820985,3/13/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820985_N8K9F695_v1_4,1197125,
EPI_ISL_303081,A/Afghanistan/0615/2017,Afghanistan,11/25/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40615ORIGINAL,3000820983,3/13/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820983_N8K9F68V_v1_4,1197133,
EPI_ISL_303256,A/Afghanistan/0626/2017,Afghanistan,11/25/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40626ORIGINAL,3000820986,3/13/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820986_N8K9F69A_v1_4,1198692,
EPI_ISL_304980,A/Afghanistan/0622/2017,Afghanistan,11/25/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40622ORIGINAL,3000820984,3/26/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820984_N8K9F690_v1_4,1205245,
EPI_ISL_311691,A/Afghanistan/0616/2017,Afghanistan,11/25/17,HA,4,A/H3N2,,C4/S1,DaSilvaJuliana,17-40616,3000820975,5/15/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820975_328751_v1_4,1240225,
EPI_ISL_330071,A/Afghanistan/0616/2017,Afghanistan,11/25/17,HA,4,A/H3N2,,C4/S2,DaSilvaJuliana,17-40616,3000820975,10/1/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820975_337931_v1_4,1312121,
EPI_ISL_303077,A/Afghanistan/0689/2017,Afghanistan,11/29/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40689ORIGINAL,3000820991,3/13/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820991_N8K9F69Z_v1_4,1197101,
EPI_ISL_304979,A/Afghanistan/0691/2017,Afghanistan,11/29/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40691ORIGINAL,3000820992,3/26/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820992_N8K9F6A4_v1_4,1205237,
EPI_ISL_312816,A/Afghanistan/0687/2017,Afghanistan,11/29/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40687ORIGINAL,3000820990,6/5/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820990_N8K9F69U_v1_4,1245124,
EPI_ISL_303063,A/Afghanistan/0785/2017,Afghanistan,12/6/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40785ORIGINAL,3000820997,3/13/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820997_N8K9F6AT_v1_4,1196989,
EPI_ISL_304982,A/Afghanistan/0787/2017,Afghanistan,12/6/17,HA,4,A/H3N2,,C2,DaSilvaJuliana,17-40787,3000820976,3/26/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820976_N8K9F67W_v1_4,1205261,
EPI_ISL_313803,A/Afghanistan/0785/2017,Afghanistan,12/6/17,HA,4,A/H3N2,,S2,DaSilvaJuliana,17-40785ORIGINAL,3000820997,6/12/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820997_000J3MU8_v1_4,1251092,
EPI_ISL_303074,A/Afghanistan/0804/2017,Afghanistan,12/9/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40804ORIGINAL,3000820998,3/13/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820998_N8K9F6AY_v1_4,1197077,
EPI_ISL_303061,A/Afghanistan/0838/2017,Afghanistan,12/10/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40838ORIGINAL,3000821001,3/13/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000821001_N8K9F6BD_v1_4,1196977,
EPI_ISL_303093,A/Afghanistan/0833/2017,Afghanistan,12/10/17,HA,4,A/H3N2,,C3,DaSilvaJuliana,17-40833,3000820978,3/13/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820978_N8K9F686_v1_4,1197229,
EPI_ISL_303260,A/Afghanistan/0837/2017,Afghanistan,12/10/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,17-40837ORIGINAL,3000821000,3/13/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000821000_N8K9F6B8_v1_4,1198724,
EPI_ISL_309537,A/Afghanistan/0833/2017,Afghanistan,12/10/17,HA,4,A/H3N2,,C3/S2,DaSilvaJuliana,17-40833,3000820978,5/7/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820978_000J3LQ1_v1_4,1228016,
EPI_ISL_304981,A/Afghanistan/0998/2017,Afghanistan,12/20/17,HA,4,A/H3N2,,C2,DaSilvaJuliana,17-40998,3000820980,3/26/18,NationalPublicHealthLaboratory,CentersforDiseaseControlandPrevention,3000820980_N8K9F68G_v1_4,1205253,
EPI_ISL_268374,A/Bangladesh/2016/2017,Bangladesh,3/12/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,1170312016ORIGINAL,3000483474,6/28/17,"icddr,bInternationalCentreforDiarrhoealDiseaseResearch,Bangladesh",CentersforDiseaseControlandPrevention,3000483474_N8K8HLAP_v1_4,1017104,
EPI_ISL_268375,A/Bangladesh/3028/2017,Bangladesh,3/23/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,1170303028ORIGINAL,3000483475,6/28/17,"icddr,bInternationalCentreforDiarrhoealDiseaseResearch,Bangladesh",CentersforDiseaseControlandPrevention,3000483475_N8K8HLAU_v1_4,1017112,
EPI_ISL_270162,A/Bangladesh/1010/2017,Bangladesh,4/25/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,1170401010ORIGINAL,3000483486,7/18/17,"icddr,bInternationalCentreforDiarrhoealDiseaseResearch,Bangladesh",CentersforDiseaseControlandPrevention,3000483486_N8K8HLCD_v1_4,1026726,
